Province,District,Palika,Category,Status,Rows_Added,Started_Date,Completed_Date,Notes
National,National,National,Emergency Services,Completed,3,2026-06-25,2026-06-27,"Official Nepal Police and NTA National Numbering Allocation Plan checked; police 100, fire 101, and ambulance 102 short codes are added. 24/7 status left blank where not explicitly stated."
National,National,National,Government Complaints,Completed,3,2026-06-25,2026-07-06,"Official Hello Sarkar, Nepal Police toll-free complaint line, and CIAA anti-corruption complaint hotline verified from official sources and added."
National,National,National,Women & Children,Completed,2,2026-06-25,2026-06-28,NWC 1145 and NCRC Child Helpline 1098 official sources checked and added.
Bagmati,Kathmandu,Kathmandu Metropolitan City,Information & Inquiry,Completed,1,2026-06-25,2026-06-25,Official Kathmandu Metropolitan City call center page checked; call center number and email added.
Bagmati,Kathmandu,Kathmandu Metropolitan City,Government Services,Completed,23,2026-06-25,2026-06-28,"Official KMC office and departments directory checked; all phone-bearing municipal department/project rows captured. Departments without published phone numbers were not added as separate rows. Related service categories such as Ward Offices, Complaints, Utilities, Health, and Tourism are tracked separately."
Bagmati,Kathmandu,Kathmandu Metropolitan City,Health & Ambulance,Completed,34,2026-06-25,2026-06-28,"Official KMC Health Department, KMC clinics directory, Urban Health Promotion Centers, and official HEOC Ambulance Nepal 102 contact checked. Category covers municipal health contacts and core ambulance coordination; individual private ambulance providers not added without official source."
Bagmati,Kathmandu,Kathmandu Metropolitan City,Disaster & Rescue,Completed,3,2026-06-25,2026-06-28,"Official KMC disaster contacts, NEOC/NDRRMA context, and Nepal Red Cross central humanitarian response contact added. Core KMC disaster/rescue public contacts covered."
Bagmati,Kathmandu,Kathmandu Metropolitan City,Emergency Services,Completed,2,2026-06-27,2026-06-27,Official KMC contact page checked; free ambulance 102 and fire brigade 101 added. Police emergency 100 remains covered in the national emergency row; local police/security category remains in progress.
Bagmati,Kathmandu,Kathmandu Metropolitan City,Hospitals,Completed,55,2026-06-27,2026-06-28,Official KMC free-health portal table processed; all hospital records with contact numbers from the portal added. Individual hospital official websites can be cross-checked later for enrichment.
Bagmati,Kathmandu,Kathmandu Metropolitan City,Ward Offices,Completed,32,2026-06-28,2026-06-28,Official KMC ward offices directory parsed; 32 ward office contacts found with phone numbers.
Bagmati,Kathmandu,Kathmandu Metropolitan City,Travel & Tourism,Completed,9,2026-06-28,2026-06-28,"Official Nepal Police Tourist Police and Nepal Tourism Board sources checked; Kathmandu tourist police units, NTB information contact, and NTB crisis cell added."
Bagmati,Kathmandu,Kathmandu Metropolitan City,Electricity & Utilities,Completed,15,2026-06-28,2026-06-28,"Official NEA distribution centers, NEA outage hotline, KUKL central office, and KUKL Kathmandu branch contacts added. Ward-level service boundaries remain unspecified by source, but main KMC electricity/water utility contacts are covered."
National,National,National,Disaster & Rescue,Completed,3,2026-06-28,2026-07-06,"Official MoHA/NEOC, NDRRMA, and Armed Police Force emergency/rescue contacts verified from official sources and added."
Bagmati,Lalitpur,Lalitpur Metropolitan City,Emergency Services,Completed,2,2026-06-28,2026-06-28,Official Lalitpur Metropolitan City contact page checked; fire brigade and ambulance service contacts added. National short codes 100/101/102 remain covered in national rows.
Bagmati,Lalitpur,Lalitpur Metropolitan City,Police & Security,Completed,14,2026-06-28,2026-06-28,Official Lalitpur Metropolitan City municipal police contact and official Kathmandu Valley Police District Police Range Lalitpur table checked. District range and key Lalitpur metro-area police/traffic posts added; offices outside or uncertain for the metro were not added.
Bagmati,Lalitpur,Lalitpur Metropolitan City,Government Services,Completed,4,2026-06-28,2026-06-28,"Official Lalitpur Metropolitan City contact page and official site search checked; central municipal office, mayor, deputy mayor, and CAO contacts captured. Department pages found mostly repeat central office contact without unique department numbers, so no unsourced department rows were added."
Bagmati,Lalitpur,Lalitpur Metropolitan City,Electricity & Utilities,Completed,6,2026-06-28,2026-06-28,"Official Lalitpur municipal utility contacts, NEA Pulchowk/Lagankhel Distribution Centers, and KUKL Lalitpur Branch added. Core electricity/water/sanitation utility contacts covered."
Bagmati,Lalitpur,Lalitpur Metropolitan City,Ward Offices,Completed,29,2026-06-28,2026-06-28,Official Lalitpur Metropolitan City elected representatives table parsed; 29 ward chairperson rows with ward office phone numbers found and added.
